,date,jz,ljjz,code
238,2019-09-27,1.7734,1.851,001632
239,2019-09-26,1.7757,1.8533,001632
240,2019-09-25,1.7946,1.8722,001632
241,2019-09-24,1.8027,1.8803,001632
242,2019-09-23,1.782,1.8596,001632
243,2019-09-20,1.8038,1.8814,001632
244,2019-09-19,1.7927,1.8703,001632
245,2019-09-18,1.7977,1.8753,001632
246,2019-09-17,1.7542,1.8318,001632
247,2019-09-16,1.7673,1.8449,001632
248,2019-09-12,1.7729,1.8505,001632
249,2019-09-11,1.7548,1.8324,001632
250,2019-09-10,1.808,1.8856,001632
251,2019-09-09,1.8084,1.886,001632
252,2019-09-09,1.8084,1.886,001632
253,2019-09-06,1.8042,1.8818,001632
254,2019-09-05,1.8032,1.8808,001632
255,2019-09-04,1.7943,1.8719,001632
256,2019-09-03,1.8093,1.8869,001632
257,2019-09-02,1.8178,1.8954,001632
258,2019-08-30,1.8132,1.8908,001632
259,2019-08-29,1.7858,1.8634,001632
260,2019-08-28,1.7784,1.856,001632
261,2019-08-27,1.7678,1.8454,001632
262,2019-08-26,1.74,1.8176,001632
263,2019-08-23,1.7679,1.8455,001632
264,2019-08-22,1.7561,1.8337,001632
265,2019-08-21,1.7312,1.8088,001632
266,2019-08-20,1.7465,1.8241,001632
267,2019-08-19,1.7375,1.8151,001632
268,2019-08-16,1.7171,1.7947,001632
269,2019-08-15,1.6888,1.7664,001632
270,2019-08-14,1.6924,1.77,001632
271,2019-08-13,1.668,1.7456,001632
272,2019-08-12,1.6733,1.7509,001632
273,2019-08-12,1.6733,1.7509,001632
274,2019-08-09,1.6371,1.7147,001632
275,2019-08-08,1.6589,1.7365,001632
276,2019-08-07,1.6348,1.7124,001632
277,2019-08-06,1.6412,1.7188,001632
278,2019-08-05,1.6473,1.7249,001632
279,2019-08-02,1.6765,1.7541,001632
280,2019-08-01,1.689,1.7666,001632
281,2019-07-31,1.7105,1.7881,001632
282,2019-07-30,1.7372,1.8148,001632
283,2019-07-29,1.7437,1.8213,001632
284,2019-07-26,1.7322,1.8098,001632
285,2019-07-25,1.7315,1.8091,001632
286,2019-07-24,1.7167,1.7943,001632
287,2019-07-23,1.7147,1.7923,001632
288,2019-07-22,1.7304,1.808,001632
289,2019-07-19,1.7149,1.7925,001632
290,2019-07-18,1.7035,1.7811,001632
291,2019-07-17,1.7251,1.8027,001632
292,2019-07-16,1.7307,1.8083,001632
293,2019-07-15,1.7544,1.832,001632
294,2019-07-15,1.7544,1.832,001632
295,2019-07-12,1.7647,1.8423,001632
296,2019-07-11,1.751,1.8286,001632
297,2019-07-10,1.7588,1.8364,001632
298,2019-07-09,1.759,1.8366,001632
299,2019-07-08,1.7531,1.8307,001632
300,2019-07-05,1.7885,1.8661,001632
301,2019-07-04,1.7567,1.8343,001632
302,2019-07-03,1.7906,1.8682,001632
303,2019-07-02,1.8182,1.8958,001632
304,2019-07-01,1.8114,1.889,001632
305,2019-06-30,1.7429,1.8205,001632
306,2019-06-28,1.743,1.8206,001632
307,2019-06-27,1.7398,1.8174,001632
308,2019-06-26,1.7061,1.7837,001632
309,2019-06-25,1.7032,1.7808,001632
310,2019-06-24,1.7042,1.7818,001632
311,2019-06-21,1.6846,1.7622,001632
312,2019-06-20,1.68,1.7576,001632
313,2019-06-19,1.6255,1.7031,001632
314,2019-06-18,1.6085,1.6861,001632
315,2019-06-18,1.6085,1.6861,001632
316,2019-06-17,1.6072,1.6848,001632
317,2019-06-14,1.6155,1.6931,001632
318,2019-06-13,1.6292,1.7068,001632
319,2019-06-12,1.6337,1.7113,001632
320,2019-06-11,1.6536,1.7312,001632
321,2019-06-10,1.5825,1.6601,001632
322,2019-06-06,1.5526,1.6302,001632
323,2019-06-05,1.5697,1.6473,001632
324,2019-06-04,1.5686,1.6462,001632
325,2019-06-03,1.6008,1.6784,001632
326,2019-05-31,1.6009,1.6785,001632
327,2019-05-30,1.6135,1.6911,001632
328,2019-05-29,1.6152,1.6928,001632
329,2019-05-28,1.6109,1.6885,001632
330,2019-05-27,1.5912,1.6688,001632
331,2019-05-24,1.5792,1.6568,001632
332,2019-05-23,1.5674,1.645,001632
333,2019-05-22,1.6092,1.6868,001632
334,2019-05-21,1.6185,1.6961,001632
335,2019-05-20,1.6044,1.682,001632
336,2019-05-20,1.6044,1.682,001632
337,2019-05-17,1.6367,1.7143,001632
338,2019-05-16,1.6784,1.756,001632
339,2019-05-15,1.6648,1.7424,001632
340,2019-05-14,1.5858,1.6634,001632
341,2019-05-13,1.6011,1.6787,001632
342,2019-05-10,1.5926,1.6702,001632
343,2019-05-09,1.5254,1.603,001632
344,2019-05-08,1.578,1.6556,001632
345,2019-05-07,1.5918,1.6694,001632
346,2019-05-06,1.5427,1.6203,001632
347,2019-04-30,1.6405,1.7181,001632
348,2019-04-29,1.6269,1.7045,001632
349,2019-04-26,1.6118,1.6894,001632
350,2019-04-25,1.6128,1.6904,001632
351,2019-04-24,1.6414,1.719,001632
352,2019-04-23,1.6432,1.7208,001632
353,2019-04-22,1.6245,1.7021,001632
354,2019-04-19,1.6373,1.7149,001632
355,2019-04-18,1.6351,1.7127,001632
356,2019-04-17,1.6278,1.7054,001632
357,2019-04-17,1.6278,1.7054,001632
358,2019-04-16,1.6165,1.6941,001632
359,2019-04-15,1.5905,1.6681,001632
360,2019-04-12,1.6053,1.6829,001632
361,2019-04-11,1.6072,1.6848,001632
362,2019-04-10,1.6743,1.7519,001632
363,2019-04-09,1.6561,1.7337,001632
364,2019-04-08,1.6235,1.7011,001632
365,2019-04-04,1.6199,1.6975,001632
366,2019-04-03,1.5918,1.6694,001632
367,2019-04-02,1.5925,1.6701,001632
368,2019-04-01,1.6107,1.6883,001632
369,2019-03-29,1.585,1.6626,001632
370,2019-03-28,1.5238,1.6014,001632
371,2019-03-27,1.5133,1.5909,001632
372,2019-03-26,1.4696,1.5472,001632
373,2019-03-25,1.4674,1.545,001632
374,2019-03-22,1.5041,1.5817,001632
375,2019-03-21,1.4896,1.5672,001632
376,2019-03-20,1.4968,1.5744,001632
377,2019-03-19,1.4909,1.5685,001632
378,2019-03-19,1.4909,1.5685,001632
379,2019-03-18,1.5106,1.5882,001632
380,2019-03-15,1.4224,1.5,001632
381,2019-03-14,1.3951,1.4727,001632
382,2019-03-13,1.3903,1.4679,001632
383,2019-03-12,1.3985,1.4761,001632
384,2019-03-11,1.3974,1.475,001632
385,2019-03-08,1.3569,1.4345,001632
386,2019-03-07,1.3896,1.4672,001632
387,2019-03-06,1.4139,1.4915,001632
388,2019-03-05,1.4214,1.499,001632
389,2019-03-04,1.4194,1.497,001632
390,2019-03-01,1.4026,1.4802,001632
391,2019-02-28,1.3643,1.4419,001632
392,2019-02-27,1.3503,1.4279,001632
393,2019-02-26,1.3343,1.4119,001632
394,2019-02-25,1.355,1.4326,001632
395,2019-02-22,1.3121,1.3897,001632
396,2019-02-21,1.3029,1.3805,001632
397,2019-02-20,1.3117,1.3893,001632
398,2019-02-19,1.3185,1.3961,001632
399,2019-02-19,1.3185,1.3961,001632
400,2019-02-18,1.3314,1.409,001632
401,2019-02-15,1.2929,1.3705,001632
402,2019-02-14,1.3161,1.3937,001632
403,2019-02-13,1.2935,1.3711,001632
404,2019-02-12,1.2792,1.3568,001632
405,2019-02-11,1.2773,1.3549,001632
406,2019-02-01,1.2338,1.3114,001632
407,2019-01-31,1.212,1.2896,001632
408,2019-01-30,1.2056,1.2832,001632
409,2019-01-29,1.2258,1.3034,001632
410,2019-01-28,1.2221,1.2997,001632
411,2019-01-25,1.2175,1.2951,001632
412,2019-01-24,1.214,1.2916,001632
413,2019-01-23,1.2061,1.2837,001632
414,2019-01-22,1.2063,1.2839,001632
415,2019-01-21,1.2236,1.3012,001632
416,2019-01-18,1.2065,1.2841,001632
417,2019-01-17,1.1868,1.2644,001632
418,2019-01-16,1.1882,1.2658,001632
419,2019-01-15,1.1914,1.269,001632
420,2019-01-15,1.1914,1.269,001632
421,2019-01-14,1.1387,1.2163,001632
422,2019-01-11,1.1525,1.2301,001632
423,2019-01-10,1.1374,1.215,001632
424,2019-01-09,1.1418,1.2194,001632
425,2019-01-08,1.127,1.2046,001632
426,2019-01-07,1.1313,1.2089,001632
427,2019-01-04,1.1211,1.1987,001632
428,2019-01-03,1.1018,1.1794,001632
429,2019-01-02,1.1245,1.2021,001632
430,2018-12-31,1.1393,1.2169,001632
431,2018-12-28,1.1394,1.217,001632
432,2018-12-27,1.1238,1.2014,001632
433,2018-12-26,1.1254,1.203,001632
434,2018-12-25,1.1343,1.2119,001632
435,2018-12-24,1.1377,1.2153,001632
436,2018-12-21,1.1269,1.2045,001632
437,2018-12-20,1.1397,1.2173,001632
438,2018-12-19,1.1426,1.2202,001632
439,2018-12-18,1.1621,1.2397,001632
440,2018-12-17,1.1699,1.2475,001632
441,2018-12-17,1.1699,1.2475,001632
442,2018-12-14,1.1788,1.2564,001632
443,2018-12-13,1.1953,1.2729,001632
444,2018-12-12,1.1746,1.2522,001632
445,2018-12-11,1.1652,1.2428,001632
446,2018-12-10,1.1541,1.2317,001632
447,2018-12-07,1.1678,1.2454,001632
448,2018-12-06,1.1646,1.2422,001632
449,2018-12-05,1.1936,1.2712,001632
450,2018-12-04,1.1929,1.2705,001632
451,2018-12-03,1.1899,1.2675,001632
452,2018-11-30,1.1449,1.2225,001632
453,2018-11-29,1.1235,1.2011,001632
454,2018-11-28,1.1291,1.2067,001632
455,2018-11-27,1.1124,1.19,001632
456,2018-11-26,1.1152,1.1928,001632
457,2018-11-23,1.1207,1.1983,001632
458,2018-11-22,1.1464,1.224,001632
459,2018-11-21,1.149,1.2266,001632
460,2018-11-20,1.1382,1.2158,001632
461,2018-11-19,1.1632,1.2408,001632
462,2018-11-19,1.1632,1.2408,001632
463,2018-11-16,1.1504,1.228,001632
464,2018-11-15,1.148,1.2256,001632
465,2018-11-14,1.1393,1.2169,001632
466,2018-11-13,1.157,1.2346,001632
467,2018-11-12,1.1309,1.2085,001632
468,2018-11-09,1.1268,1.2044,001632
469,2018-11-08,1.1318,1.2094,001632
470,2018-11-07,1.1329,1.2105,001632
471,2018-11-06,1.1283,1.2059,001632
472,2018-11-05,1.1386,1.2162,001632
473,2018-11-02,1.1616,1.2392,001632
474,2018-11-01,1.1062,1.1838,001632
475,2018-10-31,1.0899,1.1675,001632
476,2018-10-30,1.0544,1.132,001632
477,2018-10-29,1.0546,1.1322,001632
478,2018-10-26,1.132,1.2096,001632
479,2018-10-25,1.1634,1.241,001632
480,2018-10-24,1.1859,1.2635,001632
481,2018-10-23,1.2168,1.2944,001632
482,2018-10-22,1.2801,1.3577,001632
483,2018-10-22,1.2801,1.3577,001632
484,2018-10-19,1.2225,1.3001,001632
485,2018-10-18,1.1828,1.2604,001632
486,2018-10-17,1.2068,1.2844,001632
487,2018-10-16,1.2158,1.2934,001632
488,2018-10-15,1.2228,1.3004,001632
489,2018-10-12,1.246,1.3236,001632
490,2018-10-11,1.2177,1.2953,001632
491,2018-10-10,1.2652,1.3428,001632
492,2018-10-09,1.2912,1.3688,001632
493,2018-10-08,1.2856,1.3632,001632
494,2018-09-28,1.3519,1.4295,001632
495,2018-09-27,1.3418,1.4194,001632
496,2018-09-26,1.3443,1.4219,001632
497,2018-09-25,1.3088,1.3864,001632
498,2018-09-21,1.3189,1.3965,001632
499,2018-09-20,1.2762,1.3538,001632
500,2018-09-19,1.2767,1.3543,001632
501,2018-09-18,1.2501,1.3277,001632
502,2018-09-17,1.2253,1.3029,001632
503,2018-09-14,1.2256,1.3032,001632
504,2018-09-14,1.2256,1.3032,001632
505,2018-09-13,1.2114,1.289,001632
506,2018-09-12,1.2064,1.284,001632
507,2018-09-11,1.2255,1.3031,001632
508,2018-09-10,1.2217,1.2993,001632
509,2018-09-07,1.233,1.3106,001632
510,2018-09-06,1.2198,1.2974,001632
511,2018-09-05,1.2474,1.325,001632
512,2018-09-04,1.2679,1.3455,001632
513,2018-09-03,1.2575,1.3351,001632
514,2018-08-31,1.2609,1.3385,001632
515,2018-08-30,1.2838,1.3614,001632
516,2018-08-29,1.2944,1.372,001632
517,2018-08-28,1.3009,1.3785,001632
518,2018-08-27,1.3087,1.3863,001632
519,2018-08-24,1.2664,1.344,001632
520,2018-08-23,1.278,1.3556,001632
521,2018-08-22,1.2722,1.3498,001632
522,2018-08-21,1.2827,1.3603,001632
523,2018-08-20,1.2424,1.32,001632
524,2018-08-17,1.2346,1.3122,001632
525,2018-08-17,1.2346,1.3122,001632
526,2018-08-16,1.2562,1.3338,001632
527,2018-08-15,1.2827,1.3603,001632
528,2018-08-14,1.3199,1.3975,001632
529,2018-08-13,1.318,1.3956,001632
530,2018-08-10,1.3306,1.4082,001632
531,2018-08-09,1.3274,1.405,001632
532,2018-08-08,1.2918,1.3694,001632
533,2018-08-07,1.3208,1.3984,001632
534,2018-08-06,1.2886,1.3662,001632
535,2018-08-03,1.3208,1.3984,001632
536,2018-08-02,1.3537,1.4313,001632
537,2018-08-01,1.3864,1.464,001632
538,2018-07-31,1.4111,1.4887,001632
539,2018-07-30,1.4066,1.4842,001632
540,2018-07-27,1.4324,1.51,001632
541,2018-07-26,1.4189,1.4965,001632
542,2018-07-25,1.4347,1.5123,001632
543,2018-07-24,1.4389,1.5165,001632
544,2018-07-23,1.4061,1.4837,001632
545,2018-07-20,1.4249,1.5025,001632
546,2018-07-20,1.4249,1.5025,001632
547,2018-07-19,1.4195,1.4971,001632
548,2018-07-18,1.4312,1.5088,001632
549,2018-07-17,1.44,1.5176,001632
550,2018-07-16,1.4568,1.5344,001632
551,2018-07-13,1.4581,1.5357,001632
552,2018-07-12,1.4292,1.5068,001632
