tradedate,tclose
2018-09-26 00:00:00,3417.24
2018-09-27 00:00:00,3403.59
2018-09-28 00:00:00,3438.86
2018-10-08 00:00:00,3290.90
2018-10-09 00:00:00,3288.69
2018-10-10 00:00:00,3281.60
2018-10-11 00:00:00,3124.11
2018-10-12 00:00:00,3170.73
2018-10-15 00:00:00,3126.45
2018-10-16 00:00:00,3100.97
2018-10-17 00:00:00,3118.25
2018-10-18 00:00:00,3044.39
2018-10-19 00:00:00,3134.95
2018-10-22 00:00:00,3270.27
2018-10-23 00:00:00,3183.43
2018-10-24 00:00:00,3188.20
2018-10-25 00:00:00,3194.31
2018-10-26 00:00:00,3173.64
2018-10-29 00:00:00,3076.89
2018-10-30 00:00:00,3110.26
2018-10-31 00:00:00,3153.82
2018-11-01 00:00:00,3177.03
2018-11-02 00:00:00,3290.25
2018-11-05 00:00:00,3262.84
2018-11-06 00:00:00,3243.15
2018-11-07 00:00:00,3221.91
2018-11-08 00:00:00,3212.77
2018-11-09 00:00:00,3167.44
2018-11-12 00:00:00,3205.14
2018-11-13 00:00:00,3237.38
2018-11-14 00:00:00,3204.94
2018-11-15 00:00:00,3242.37
2018-11-16 00:00:00,3257.67
2018-11-19 00:00:00,3294.60
2018-11-20 00:00:00,3218.41
2018-11-21 00:00:00,3226.49
2018-11-22 00:00:00,3214.43
2018-11-23 00:00:00,3143.48
2018-11-26 00:00:00,3141.24
2018-11-27 00:00:00,3137.24
2018-11-28 00:00:00,3178.93
2018-11-29 00:00:00,3137.65
2018-11-30 00:00:00,3172.69
2018-12-03 00:00:00,3260.95
2018-12-04 00:00:00,3267.71
2018-12-05 00:00:00,3252.00
2018-12-06 00:00:00,3181.67
2018-12-07 00:00:00,3181.56
2018-12-10 00:00:00,3144.76
2018-12-11 00:00:00,3159.82
2018-12-12 00:00:00,3170.61
2018-12-13 00:00:00,3219.69
2018-12-14 00:00:00,3165.91
2018-12-17 00:00:00,3161.20
2018-12-18 00:00:00,3128.43
2018-12-19 00:00:00,3091.13
2018-12-20 00:00:00,3067.42
2018-12-21 00:00:00,3029.40
2018-12-24 00:00:00,3038.20
2018-12-25 00:00:00,3017.28
2018-12-26 00:00:00,3002.03
2018-12-27 00:00:00,2990.51
2018-12-28 00:00:00,3010.65
2019-01-02 00:00:00,2969.54
2019-01-03 00:00:00,2964.84
2019-01-04 00:00:00,3035.87
2019-01-07 00:00:00,3054.30
2019-01-08 00:00:00,3047.70
2019-01-09 00:00:00,3078.48
2019-01-10 00:00:00,3072.69
2019-01-11 00:00:00,3094.78
2019-01-14 00:00:00,3067.78
2019-01-15 00:00:00,3127.99
2019-01-16 00:00:00,3128.65
2019-01-17 00:00:00,3111.42
2019-01-18 00:00:00,3168.17
2019-01-21 00:00:00,3185.64
2019-01-22 00:00:00,3143.32
2019-01-23 00:00:00,3141.05
2019-01-24 00:00:00,3158.78
2019-01-25 00:00:00,3184.47
2019-01-28 00:00:00,3183.78
2019-01-29 00:00:00,3193.97
2019-01-30 00:00:00,3168.48
2019-01-31 00:00:00,3201.63
2019-02-01 00:00:00,3247.40
2019-02-11 00:00:00,3306.47
2019-02-12 00:00:00,3330.34
2019-02-13 00:00:00,3397.03
2019-02-14 00:00:00,3402.14
2019-02-15 00:00:00,3338.70
2019-02-18 00:00:00,3445.74
2019-02-19 00:00:00,3439.61
2019-02-20 00:00:00,3451.93
2019-02-21 00:00:00,3442.71
2019-02-22 00:00:00,3520.12
2019-02-25 00:00:00,3729.48
2019-02-26 00:00:00,3684.69
2019-02-27 00:00:00,3678.39
2019-02-28 00:00:00,3669.37
2019-03-01 00:00:00,3749.71
2019-03-04 00:00:00,3794.10
2019-03-05 00:00:00,3816.01
2019-03-06 00:00:00,3848.09
2019-03-07 00:00:00,3808.85
2019-03-08 00:00:00,3657.58
2019-03-11 00:00:00,3729.95
2019-03-12 00:00:00,3755.35
2019-03-13 00:00:00,3724.19
2019-03-14 00:00:00,3698.49
2019-03-15 00:00:00,3745.01
2019-03-18 00:00:00,3851.75
2019-03-19 00:00:00,3833.96
2019-03-20 00:00:00,3835.44
2019-03-21 00:00:00,3836.89
2019-03-22 00:00:00,3833.80
2019-03-25 00:00:00,3742.83
2019-03-26 00:00:00,3700.44
2019-03-27 00:00:00,3743.39
2019-03-28 00:00:00,3728.40
2019-03-29 00:00:00,3872.34
2019-04-01 00:00:00,3973.93
2019-04-02 00:00:00,3971.29
2019-04-03 00:00:00,4022.16
2019-04-04 00:00:00,4062.23
2019-04-08 00:00:00,4057.23
2019-04-09 00:00:00,4075.43
2019-04-10 00:00:00,4085.85
2019-04-11 00:00:00,3997.58
2019-04-12 00:00:00,3988.62
2019-04-15 00:00:00,3975.52
2019-04-16 00:00:00,4085.79
2019-04-17 00:00:00,4087.24
2019-04-18 00:00:00,4072.08
2019-04-19 00:00:00,4120.61
2019-04-22 00:00:00,4025.61
2019-04-23 00:00:00,4019.01
2019-04-24 00:00:00,4030.09
2019-04-25 00:00:00,3941.82
2019-04-26 00:00:00,3889.27
2019-04-29 00:00:00,3900.33
2019-04-30 00:00:00,3913.21
2019-05-06 00:00:00,3684.62
2019-05-07 00:00:00,3720.67
2019-05-08 00:00:00,3667.46
2019-05-09 00:00:00,3599.70
2019-05-10 00:00:00,3730.45
2019-05-13 00:00:00,3668.73
2019-05-14 00:00:00,3645.15
2019-05-15 00:00:00,3727.09
2019-05-16 00:00:00,3743.96
2019-05-17 00:00:00,3648.76
2019-05-20 00:00:00,3617.79
2019-05-21 00:00:00,3666.78
2019-05-22 00:00:00,3649.38
2019-05-23 00:00:00,3583.96
2019-05-24 00:00:00,3593.91
2019-05-27 00:00:00,3637.20
2019-05-28 00:00:00,3672.26
2019-05-29 00:00:00,3663.91
2019-05-30 00:00:00,3641.18
2019-05-31 00:00:00,3629.79
2019-06-03 00:00:00,3632.01
2019-06-04 00:00:00,3598.47
2019-06-05 00:00:00,3597.11
2019-06-06 00:00:00,3564.68
2019-06-10 00:00:00,3610.74
2019-06-11 00:00:00,3719.28
2019-06-12 00:00:00,3691.10
2019-06-13 00:00:00,3685.39
2019-06-14 00:00:00,3654.88
2019-06-17 00:00:00,3654.82
2019-06-18 00:00:00,3667.62
2019-06-19 00:00:00,3715.94
2019-06-20 00:00:00,3828.52
2019-06-21 00:00:00,3833.94
2019-06-24 00:00:00,3841.27
2019-06-25 00:00:00,3801.31
2019-06-26 00:00:00,3794.33
2019-06-27 00:00:00,3834.82
2019-06-28 00:00:00,3825.59
2019-07-01 00:00:00,3935.81
2019-07-02 00:00:00,3937.17
2019-07-03 00:00:00,3893.53
2019-07-04 00:00:00,3873.10
2019-07-05 00:00:00,3893.20
2019-07-08 00:00:00,3802.79
2019-07-09 00:00:00,3793.13
2019-07-10 00:00:00,3786.74
2019-07-11 00:00:00,3785.22
2019-07-12 00:00:00,3808.73
2019-07-15 00:00:00,3824.19
2019-07-16 00:00:00,3806.84
2019-07-17 00:00:00,3804.64
2019-07-18 00:00:00,3768.40
2019-07-19 00:00:00,3807.96
2019-07-22 00:00:00,3781.68
2019-07-23 00:00:00,3789.91
2019-07-24 00:00:00,3819.83
2019-07-25 00:00:00,3851.07
2019-07-26 00:00:00,3858.57
2019-07-29 00:00:00,3854.27
2019-07-30 00:00:00,3870.32
2019-07-31 00:00:00,3835.36
2019-08-01 00:00:00,3803.47
2019-08-02 00:00:00,3747.44
2019-08-05 00:00:00,3675.69
2019-08-06 00:00:00,3636.33
2019-08-07 00:00:00,3621.43
2019-08-08 00:00:00,3669.29
2019-08-09 00:00:00,3633.53
2019-08-12 00:00:00,3699.10
2019-08-13 00:00:00,3665.75
2019-08-14 00:00:00,3682.40
2019-08-15 00:00:00,3694.00
2019-08-16 00:00:00,3710.54
2019-08-19 00:00:00,3791.09
2019-08-20 00:00:00,3787.73
2019-08-21 00:00:00,3781.76
2019-08-22 00:00:00,3793.51
2019-08-23 00:00:00,3820.86
2019-08-26 00:00:00,3765.91
2019-08-27 00:00:00,3816.95
2019-08-28 00:00:00,3802.58
2019-08-29 00:00:00,3790.19
2019-08-30 00:00:00,3799.59
2019-09-02 00:00:00,3848.32
2019-09-03 00:00:00,3853.61
2019-09-04 00:00:00,3886.00
2019-09-05 00:00:00,3925.32
2019-09-06 00:00:00,3948.51
2019-09-09 00:00:00,3972.95
2019-09-10 00:00:00,3959.27
2019-09-11 00:00:00,3930.10
2019-09-12 00:00:00,3972.38
2019-09-16 00:00:00,3957.72
2019-09-17 00:00:00,3891.22
2019-09-18 00:00:00,3910.08
2019-09-19 00:00:00,3924.38
2019-09-20 00:00:00,3935.65
2019-09-23 00:00:00,3890.66
2019-09-24 00:00:00,3901.08
2019-09-25 00:00:00,3870.98
2019-09-26 00:00:00,3841.14
2019-09-27 00:00:00,3852.65
2019-09-30 00:00:00,3814.53
2019-10-08 00:00:00,3837.68
2019-10-09 00:00:00,3843.24
2019-10-10 00:00:00,3874.64
2019-10-11 00:00:00,3911.73
2019-10-14 00:00:00,3953.24
2019-10-15 00:00:00,3936.25
2019-10-16 00:00:00,3922.69
2019-10-17 00:00:00,3925.22
2019-10-18 00:00:00,3869.38
2019-10-21 00:00:00,3880.84
2019-10-22 00:00:00,3895.88
2019-10-23 00:00:00,3871.08
2019-10-24 00:00:00,3870.67
2019-10-25 00:00:00,3896.79
2019-10-28 00:00:00,3926.59
2019-10-29 00:00:00,3910.23
2019-10-30 00:00:00,3891.23
2019-10-31 00:00:00,3886.75
2019-11-01 00:00:00,3952.39
2019-11-04 00:00:00,3978.12
2019-11-05 00:00:00,4002.81
2019-11-06 00:00:00,3984.88
2019-11-07 00:00:00,3991.87
2019-11-08 00:00:00,3973.01
2019-11-11 00:00:00,3902.98
2019-11-12 00:00:00,3903.69
2019-11-13 00:00:00,3899.98
2019-11-14 00:00:00,3905.86
2019-11-15 00:00:00,3877.09
2019-11-18 00:00:00,3907.93
2019-11-19 00:00:00,3947.04
2019-11-20 00:00:00,3907.86
2019-11-21 00:00:00,3889.60
2019-11-22 00:00:00,3849.99
2019-11-25 00:00:00,3878.21
2019-11-26 00:00:00,3891.65
2019-11-27 00:00:00,3875.62
2019-11-28 00:00:00,3862.30
2019-11-29 00:00:00,3828.67
2019-12-02 00:00:00,3836.06
2019-12-03 00:00:00,3851.09
2019-12-04 00:00:00,3849.82
2019-12-05 00:00:00,3879.36
2019-12-06 00:00:00,3902.39
2019-12-09 00:00:00,3895.45
2019-12-10 00:00:00,3900.38
2019-12-11 00:00:00,3902.75
2019-12-12 00:00:00,3891.02
2019-12-13 00:00:00,3968.22
2019-12-16 00:00:00,3987.55
2019-12-17 00:00:00,4041.80
2019-12-18 00:00:00,4032.78
2019-12-19 00:00:00,4027.15
2019-12-20 00:00:00,4017.25
2019-12-23 00:00:00,3967.10
2019-12-24 00:00:00,3992.96
2019-12-25 00:00:00,3990.87
2019-12-26 00:00:00,4025.99
2019-12-27 00:00:00,4022.03
2019-12-30 00:00:00,4081.63
2019-12-31 00:00:00,4096.58
2020-01-02 00:00:00,4152.24
2020-01-03 00:00:00,4144.96
2020-01-06 00:00:00,4129.30
2020-01-07 00:00:00,4160.23
2020-01-08 00:00:00,4112.32
2020-01-09 00:00:00,4164.37
2020-01-10 00:00:00,4163.18
2020-01-13 00:00:00,4203.99
2020-01-14 00:00:00,4189.89
2020-01-15 00:00:00,4166.73
2020-01-16 00:00:00,4149.04
2020-01-17 00:00:00,4154.85
2020-01-20 00:00:00,4185.83
2020-01-21 00:00:00,4114.31
2020-01-22 00:00:00,4131.93
2020-01-23 00:00:00,4003.90
2020-02-03 00:00:00,3688.36
2020-02-04 00:00:00,3785.64
2020-02-05 00:00:00,3828.53
2020-02-06 00:00:00,3899.78
2020-02-07 00:00:00,3899.87
2020-02-10 00:00:00,3916.01
2020-02-11 00:00:00,3952.46
2020-02-12 00:00:00,3984.43
2020-02-13 00:00:00,3959.92
2020-02-14 00:00:00,3987.73
2020-02-17 00:00:00,4077.42
2020-02-18 00:00:00,4057.51
2020-02-19 00:00:00,4051.31
2020-02-20 00:00:00,4144.66
2020-02-21 00:00:00,4149.49
2020-02-24 00:00:00,4132.84
2020-02-25 00:00:00,4123.85
2020-02-26 00:00:00,4073.02
2020-02-27 00:00:00,4084.88
2020-02-28 00:00:00,3940.05
2020-03-02 00:00:00,4069.67
2020-03-03 00:00:00,4091.36
2020-03-04 00:00:00,4115.05
2020-03-05 00:00:00,4206.73
2020-03-06 00:00:00,4138.51
2020-03-09 00:00:00,3997.13
2020-03-10 00:00:00,4082.73
2020-03-11 00:00:00,4028.43
2020-03-12 00:00:00,3950.91
2020-03-13 00:00:00,3895.31
2020-03-16 00:00:00,3727.84
2020-03-17 00:00:00,3709.68
2020-03-18 00:00:00,3636.26
2020-03-19 00:00:00,3589.09
2020-03-20 00:00:00,3653.22
2020-03-23 00:00:00,3530.31
2020-03-24 00:00:00,3625.11
2020-03-25 00:00:00,3722.52
2020-03-26 00:00:00,3698.05
2020-03-27 00:00:00,3710.06
2020-03-30 00:00:00,3674.11
2020-03-31 00:00:00,3686.16
2020-04-01 00:00:00,3675.08
2020-04-02 00:00:00,3734.53
2020-04-03 00:00:00,3713.22
2020-04-07 00:00:00,3798.02
2020-04-08 00:00:00,3780.34
2020-04-09 00:00:00,3792.81
2020-04-10 00:00:00,3769.18
2020-04-13 00:00:00,3753.26
2020-04-14 00:00:00,3825.70
2020-04-15 00:00:00,3797.36
2020-04-16 00:00:00,3802.38
2020-04-17 00:00:00,3839.49
2020-04-20 00:00:00,3853.46
2020-04-21 00:00:00,3808.05
2020-04-22 00:00:00,3839.38
2020-04-23 00:00:00,3829.75
2020-04-24 00:00:00,3796.97
2020-04-27 00:00:00,3822.77
2020-04-28 00:00:00,3849.15
2020-04-29 00:00:00,3867.03
2020-04-30 00:00:00,3912.58
2020-05-06 00:00:00,3936.25
2020-05-07 00:00:00,3924.89
2020-05-08 00:00:00,3963.62
2020-05-11 00:00:00,3960.18
2020-05-12 00:00:00,3960.24
2020-05-13 00:00:00,3968.25
2020-05-14 00:00:00,3925.22
2020-05-15 00:00:00,3912.82
2020-05-18 00:00:00,3922.91
2020-05-19 00:00:00,3956.25
2020-05-20 00:00:00,3935.22
2020-05-21 00:00:00,3913.79
2020-05-22 00:00:00,3824.06
2020-05-25 00:00:00,3829.32
2020-05-26 00:00:00,3872.77
2020-05-27 00:00:00,3845.61
2020-05-28 00:00:00,3856.63
2020-05-29 00:00:00,3867.02
2020-06-01 00:00:00,3971.34
2020-06-02 00:00:00,3983.57
2020-06-03 00:00:00,3983.65
2020-06-04 00:00:00,3982.19
2020-06-05 00:00:00,4001.25
2020-06-08 00:00:00,4021.95
2020-06-09 00:00:00,4047.03
2020-06-10 00:00:00,4039.71
2020-06-11 00:00:00,3995.88
2020-06-12 00:00:00,4003.08
2020-06-15 00:00:00,3954.99
2020-06-16 00:00:00,4014.57
2020-06-17 00:00:00,4017.59
2020-06-18 00:00:00,4044.38
2020-06-19 00:00:00,4098.71
2020-06-22 00:00:00,4102.05
2020-06-23 00:00:00,4121.79
2020-06-24 00:00:00,4138.99
2020-06-29 00:00:00,4109.72
2020-06-30 00:00:00,4163.96
2020-07-01 00:00:00,4247.78
2020-07-02 00:00:00,4335.84
2020-07-03 00:00:00,4419.60
2020-07-06 00:00:00,4670.09
2020-07-07 00:00:00,4698.13
2020-07-08 00:00:00,4774.00
2020-07-09 00:00:00,4840.77
2020-07-10 00:00:00,4753.13
2020-07-13 00:00:00,4852.96
2020-07-14 00:00:00,4806.69
2020-07-15 00:00:00,4744.47
2020-07-16 00:00:00,4516.25
2020-07-17 00:00:00,4544.70
2020-07-20 00:00:00,4680.30
2020-07-21 00:00:00,4691.04
2020-07-22 00:00:00,4714.45
2020-07-23 00:00:00,4712.44
2020-07-24 00:00:00,4505.59
2020-07-27 00:00:00,4528.45
2020-07-28 00:00:00,4568.26
2020-07-29 00:00:00,4679.01
2020-07-30 00:00:00,4656.15
2020-07-31 00:00:00,4695.05
2020-08-03 00:00:00,4771.31
2020-08-04 00:00:00,4775.80
2020-08-05 00:00:00,4777.11
2020-08-06 00:00:00,4762.76
2020-08-07 00:00:00,4707.93
2020-08-10 00:00:00,4724.87
2020-08-11 00:00:00,4681.78
2020-08-12 00:00:00,4647.64
2020-08-13 00:00:00,4635.71
2020-08-14 00:00:00,4704.63
2020-08-17 00:00:00,4815.23
2020-08-18 00:00:00,4812.76
2020-08-19 00:00:00,4740.68
2020-08-20 00:00:00,4679.15
2020-08-21 00:00:00,4718.84
2020-08-24 00:00:00,4755.85
2020-08-25 00:00:00,4761.95
2020-08-26 00:00:00,4706.13
2020-08-27 00:00:00,4731.35
2020-08-28 00:00:00,4844.27
2020-08-31 00:00:00,4816.22
2020-09-01 00:00:00,4842.12
2020-09-02 00:00:00,4843.89
